,eps,n,alpha,beta,gamma,phi**2,psi**2
29892,19.264,1.3776,0.33,0.56,30.13,0.0,0.0
21251,5.9867,1.3723,0.0,0.45,33.67,0.0,0.0
14913,17.332,1.3993,0.37,0.48,35.88,0.0,0.0
43024,37.219,1.4305,0.0,0.74,49.56,0.0,0.0
25218,35.688,1.3442,0.07,0.32,41.25,0.0,0.0
36712,18.246,1.3788,0.0,0.51,34.5,0.0,0.0
46983,6.8615,1.3614,0.0,0.45,35.59,0.0,0.0
24221,35.688,1.3442,0.07,0.32,41.25,0.0,0.0
25611,35.688,1.3442,0.07,0.32,41.25,0.0,0.0
37287,15.944,1.3978,0.33,0.56,32.44,0.0,0.0
39260,78.355,1.3328,0.82,0.35,103.62,0.0,0.0
37335,15.944,1.3978,0.33,0.56,32.44,0.0,0.0
39267,78.355,1.3328,0.82,0.35,103.62,0.0,0.0
1296,32.613,1.3288,0.43,0.47,31.77,0.0,0.0
14622,17.332,1.3993,0.37,0.48,35.88,0.0,0.0
28648,19.264,1.3776,0.33,0.56,30.13,0.0,0.0
17245,20.493,1.3588,0.04,0.49,33.77,0.0,0.0
48359,1.8819,1.3749,0.0,0.0,25.75,0.0,0.0
36702,18.246,1.3788,0.0,0.51,34.5,0.0,0.0
3087,32.613,1.3288,0.43,0.47,31.77,0.0,0.0
38969,2.2099,1.4224,0.0,0.64,47.14,0.0,0.0
33234,2.3741,1.4961,0.0,0.14,40.2,0.734449,0.0
41753,78.355,1.3328,0.82,0.35,103.62,0.0,0.0
1043,32.613,1.3288,0.43,0.47,31.77,0.0,0.0
23505,5.9867,1.3723,0.0,0.45,33.67,0.0,0.0
10481,20.524,1.385,0.37,0.48,33.57,0.0,0.0
5453,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
44990,40.245,1.4318,0.58,0.78,69.07,0.0,0.0
36341,18.246,1.3788,0.0,0.51,34.5,0.0,0.0
4800,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
45205,2.0165,1.4266,0.0,0.0,35.48,0.0,0.0
30914,19.264,1.3776,0.33,0.56,30.13,0.0,0.0
40926,78.355,1.3328,0.82,0.35,103.62,0.0,0.0
45780,2.0165,1.4266,0.0,0.0,35.48,0.0,0.0
1166,32.613,1.3288,0.43,0.47,31.77,0.0,0.0
13946,17.332,1.3993,0.37,0.48,35.88,0.0,0.0
17188,20.493,1.3588,0.04,0.49,33.77,0.0,0.0
23839,8.93,1.4242,0.1,0.05,39.15,0.0,0.444889
15160,17.332,1.3993,0.37,0.48,35.88,0.0,0.0
8182,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
9035,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
24825,35.688,1.3442,0.07,0.32,41.25,0.0,0.0
13526,17.332,1.3993,0.37,0.48,35.88,0.0,0.0
10244,20.524,1.385,0.37,0.48,33.57,0.0,0.0
1602,32.613,1.3288,0.43,0.47,31.77,0.0,0.0
47415,6.8615,1.3614,0.0,0.45,35.59,0.0,0.0
30964,19.264,1.3776,0.33,0.56,30.13,0.0,0.0
1209,32.613,1.3288,0.43,0.47,31.77,0.0,0.0
2341,32.613,1.3288,0.43,0.47,31.77,0.0,0.0
42947,37.219,1.4305,0.0,0.74,49.56,0.0,0.0
12765,20.524,1.385,0.37,0.48,33.57,0.0,0.0
28558,19.264,1.3776,0.33,0.56,30.13,0.0,0.0
19959,20.493,1.3588,0.04,0.49,33.77,0.0,0.0
8379,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
20183,5.9867,1.3723,0.0,0.45,33.67,0.0,0.0
19868,20.493,1.3588,0.04,0.49,33.77,0.0,0.0
28639,19.264,1.3776,0.33,0.56,30.13,0.0,0.0
23798,5.9867,1.3723,0.0,0.45,33.67,0.0,0.0
8704,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
45342,2.0165,1.4266,0.0,0.0,35.48,0.0,0.0
9440,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
13802,17.332,1.3993,0.37,0.48,35.88,0.0,0.0
13004,20.524,1.385,0.37,0.48,33.57,0.0,0.0
4397,32.613,1.3288,0.43,0.47,31.77,0.0,0.0
46725,2.2706,1.5011,0.0,0.14,40.62,1.0,0.0
42869,37.219,1.4305,0.0,0.74,49.56,0.0,0.0
27367,19.264,1.3776,0.33,0.56,30.13,0.0,0.0
29842,19.264,1.3776,0.33,0.56,30.13,0.0,0.0
464,32.613,1.3288,0.43,0.47,31.77,0.0,0.0
11046,20.524,1.385,0.37,0.48,33.57,0.0,0.0
34200,16.777,1.3955,0.37,0.48,32.38,0.0,0.0
1954,32.613,1.3288,0.43,0.47,31.77,0.0,0.0
22906,5.9867,1.3723,0.0,0.45,33.67,0.0,0.0
8532,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
12378,20.524,1.385,0.37,0.48,33.57,0.0,0.0
28296,19.264,1.3776,0.33,0.56,30.13,0.0,0.0
41894,78.355,1.3328,0.82,0.35,103.62,0.0,0.0
19249,20.493,1.3588,0.04,0.49,33.77,0.0,0.0
47715,4.9941,1.3941,0.0,0.45,35.81,0.0,0.0
40159,78.355,1.3328,0.82,0.35,103.62,0.0,0.0
42637,37.219,1.4305,0.0,0.74,49.56,0.0,0.0
32525,2.3741,1.4961,0.0,0.14,40.2,0.734449,0.0
37277,15.944,1.3978,0.33,0.56,32.44,0.0,0.0
24085,8.93,1.4242,0.1,0.05,39.15,0.0,0.444889
20542,5.9867,1.3723,0.0,0.45,33.67,0.0,0.0
41926,78.355,1.3328,0.82,0.35,103.62,0.0,0.0
43817,37.219,1.4305,0.0,0.74,49.56,0.0,0.0
39272,78.355,1.3328,0.82,0.35,103.62,0.0,0.0
38587,2.2099,1.4224,0.0,0.64,47.14,0.0,0.0
21154,5.9867,1.3723,0.0,0.45,33.67,0.0,0.0
38592,2.2099,1.4224,0.0,0.64,47.14,0.0,0.0
8479,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
47035,6.8615,1.3614,0.0,0.45,35.59,0.0,0.0
22868,5.9867,1.3723,0.0,0.45,33.67,0.0,0.0
20635,5.9867,1.3723,0.0,0.45,33.67,0.0,0.0
4021,32.613,1.3288,0.43,0.47,31.77,0.0,0.0
3269,32.613,1.3288,0.43,0.47,31.77,0.0,0.0
32038,2.3741,1.4961,0.0,0.14,40.2,0.734449,0.0
11589,20.524,1.385,0.37,0.48,33.57,0.0,0.0
307,32.613,1.3288,0.43,0.47,31.77,0.0,0.0
38622,2.2099,1.4224,0.0,0.64,47.14,0.0,0.0
47422,6.8615,1.3614,0.0,0.45,35.59,0.0,0.0
17168,20.493,1.3588,0.04,0.49,33.77,0.0,0.0
44627,40.245,1.4318,0.58,0.78,69.07,0.0,0.0
3434,32.613,1.3288,0.43,0.47,31.77,0.0,0.0
25309,35.688,1.3442,0.07,0.32,41.25,0.0,0.0
25291,35.688,1.3442,0.07,0.32,41.25,0.0,0.0
39777,78.355,1.3328,0.82,0.35,103.62,0.0,0.0
19212,20.493,1.3588,0.04,0.49,33.77,0.0,0.0
19178,20.493,1.3588,0.04,0.49,33.77,0.0,0.0
29910,19.264,1.3776,0.33,0.56,30.13,0.0,0.0
31381,9.8629,1.4295,0.37,0.48,39.01,0.0,0.0
48598,1.8819,1.3749,0.0,0.0,25.75,0.0,0.0
24747,35.688,1.3442,0.07,0.32,41.25,0.0,0.0
12348,20.524,1.385,0.37,0.48,33.57,0.0,0.0
12396,20.524,1.385,0.37,0.48,33.57,0.0,0.0
46993,6.8615,1.3614,0.0,0.45,35.59,0.0,0.0
14193,17.332,1.3993,0.37,0.48,35.88,0.0,0.0
25166,35.688,1.3442,0.07,0.32,41.25,0.0,0.0
43211,37.219,1.4305,0.0,0.74,49.56,0.0,0.0
41311,78.355,1.3328,0.82,0.35,103.62,0.0,0.0
13052,20.524,1.385,0.37,0.48,33.57,0.0,0.0
21192,5.9867,1.3723,0.0,0.45,33.67,0.0,0.0
18755,20.493,1.3588,0.04,0.49,33.77,0.0,0.0
19298,20.493,1.3588,0.04,0.49,33.77,0.0,0.0
31307,9.8629,1.4295,0.37,0.48,39.01,0.0,0.0
47807,4.9941,1.3941,0.0,0.45,35.81,0.0,0.0
48196,1.9113,1.3878,0.0,0.0,28.28,0.0,0.0
25377,35.688,1.3442,0.07,0.32,41.25,0.0,0.0
33932,16.777,1.3955,0.37,0.48,32.38,0.0,0.0
27153,19.264,1.3776,0.33,0.56,30.13,0.0,0.0
38692,2.2099,1.4224,0.0,0.64,47.14,0.0,0.0
28217,19.264,1.3776,0.33,0.56,30.13,0.0,0.0
45187,2.0165,1.4266,0.0,0.0,35.48,0.0,0.0
28234,19.264,1.3776,0.33,0.56,30.13,0.0,0.0
36305,18.246,1.3788,0.0,0.51,34.5,0.0,0.0
26373,35.688,1.3442,0.07,0.32,41.25,0.0,0.0
12240,20.524,1.385,0.37,0.48,33.57,0.0,0.0
4281,32.613,1.3288,0.43,0.47,31.77,0.0,0.0
30207,19.264,1.3776,0.33,0.56,30.13,0.0,0.0
8647,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
34714,16.777,1.3955,0.37,0.48,32.38,0.0,0.0
35765,7.4257,1.405,0.0,0.48,39.44,0.0,0.0
35169,15.13,1.4101,0.37,0.48,36.5,0.0,0.0
31985,2.3741,1.4961,0.0,0.14,40.2,0.734449,0.0
5691,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
3057,32.613,1.3288,0.43,0.47,31.77,0.0,0.0
36190,7.4257,1.405,0.0,0.48,39.44,0.0,0.0
5877,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
16740,20.493,1.3588,0.04,0.49,33.77,0.0,0.0
48811,1.8819,1.3749,0.0,0.0,25.75,0.0,0.0
35101,15.13,1.4101,0.37,0.48,36.5,0.0,0.0
37445,15.944,1.3978,0.33,0.56,32.44,0.0,0.0
45859,2.0165,1.4266,0.0,0.0,35.48,0.0,0.0
47778,4.9941,1.3941,0.0,0.45,35.81,0.0,0.0
20402,5.9867,1.3723,0.0,0.45,33.67,0.0,0.0
15917,17.332,1.3993,0.37,0.48,35.88,0.0,0.0
43109,37.219,1.4305,0.0,0.74,49.56,0.0,0.0
37917,2.2099,1.4224,0.0,0.64,47.14,0.0,0.0
32110,2.3741,1.4961,0.0,0.14,40.2,0.734449,0.0
11477,20.524,1.385,0.37,0.48,33.57,0.0,0.0
31298,9.8629,1.4295,0.37,0.48,39.01,0.0,0.0
646,32.613,1.3288,0.43,0.47,31.77,0.0,0.0
495,32.613,1.3288,0.43,0.47,31.77,0.0,0.0
31838,15.619000000000002,1.4507,0.0,0.56,49.76,0.0,0.0
32598,2.3741,1.4961,0.0,0.14,40.2,0.734449,0.0
473,32.613,1.3288,0.43,0.47,31.77,0.0,0.0
28082,19.264,1.3776,0.33,0.56,30.13,0.0,0.0
26250,35.688,1.3442,0.07,0.32,41.25,0.0,0.0
8793,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
22876,5.9867,1.3723,0.0,0.45,33.67,0.0,0.0
183,32.613,1.3288,0.43,0.47,31.77,0.0,0.0
10537,20.524,1.385,0.37,0.48,33.57,0.0,0.0
7559,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
8192,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
8319,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
20276,5.9867,1.3723,0.0,0.45,33.67,0.0,0.0
42664,37.219,1.4305,0.0,0.74,49.56,0.0,0.0
3961,32.613,1.3288,0.43,0.47,31.77,0.0,0.0
11569,20.524,1.385,0.37,0.48,33.57,0.0,0.0
19116,20.493,1.3588,0.04,0.49,33.77,0.0,0.0
12455,20.524,1.385,0.37,0.48,33.57,0.0,0.0
38765,2.2099,1.4224,0.0,0.64,47.14,0.0,0.0
5820,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
6526,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
15893,17.332,1.3993,0.37,0.48,35.88,0.0,0.0
38875,2.2099,1.4224,0.0,0.64,47.14,0.0,0.0
7336,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
50118,11.321,1.4249,0.37,0.48,38.5,0.0,0.0
8397,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
21509,5.9867,1.3723,0.0,0.45,33.67,0.0,0.0
14763,17.332,1.3993,0.37,0.48,35.88,0.0,0.0
41341,78.355,1.3328,0.82,0.35,103.62,0.0,0.0
14959,17.332,1.3993,0.37,0.48,35.88,0.0,0.0
5072,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
19774,20.493,1.3588,0.04,0.49,33.77,0.0,0.0
42280,5.5205,1.3842,0.0,0.45,34.26,0.0,0.0
20624,5.9867,1.3723,0.0,0.45,33.67,0.0,0.0
48446,1.8819,1.3749,0.0,0.0,25.75,0.0,0.0
10976,20.524,1.385,0.37,0.48,33.57,0.0,0.0
47509,6.8615,1.3614,0.0,0.45,35.59,0.0,0.0
1364,32.613,1.3288,0.43,0.47,31.77,0.0,0.0
16090,17.332,1.3993,0.37,0.48,35.88,0.0,0.0
23058,5.9867,1.3723,0.0,0.45,33.67,0.0,0.0
17043,20.493,1.3588,0.04,0.49,33.77,0.0,0.0
36020,7.4257,1.405,0.0,0.48,39.44,0.0,0.0
13331,20.524,1.385,0.37,0.48,33.57,0.0,0.0
34727,16.777,1.3955,0.37,0.48,32.38,0.0,0.0
14094,17.332,1.3993,0.37,0.48,35.88,0.0,0.0
27382,19.264,1.3776,0.33,0.56,30.13,0.0,0.0
6205,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
33148,2.3741,1.4961,0.0,0.14,40.2,0.734449,0.0
3321,32.613,1.3288,0.43,0.47,31.77,0.0,0.0
6133,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
74,32.613,1.3288,0.43,0.47,31.77,0.0,0.0
23965,8.93,1.4242,0.1,0.05,39.15,0.0,0.444889
49667,4.7113,1.4459,0.15,0.02,38.39,0.0,0.5625
47688,4.9941,1.3941,0.0,0.45,35.81,0.0,0.0
10766,20.524,1.385,0.37,0.48,33.57,0.0,0.0
47153,6.8615,1.3614,0.0,0.45,35.59,0.0,0.0
2989,32.613,1.3288,0.43,0.47,31.77,0.0,0.0
5588,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
281,32.613,1.3288,0.43,0.47,31.77,0.0,0.0
28325,19.264,1.3776,0.33,0.56,30.13,0.0,0.0
24483,35.688,1.3442,0.07,0.32,41.25,0.0,0.0
10436,20.524,1.385,0.37,0.48,33.57,0.0,0.0
34863,15.13,1.4101,0.37,0.48,36.5,0.0,0.0
47350,6.8615,1.3614,0.0,0.45,35.59,0.0,0.0
4211,32.613,1.3288,0.43,0.47,31.77,0.0,0.0
19631,20.493,1.3588,0.04,0.49,33.77,0.0,0.0
13077,20.524,1.385,0.37,0.48,33.57,0.0,0.0
28797,19.264,1.3776,0.33,0.56,30.13,0.0,0.0
31201,9.8629,1.4295,0.37,0.48,39.01,0.0,0.0
13224,20.524,1.385,0.37,0.48,33.57,0.0,0.0
20321,5.9867,1.3723,0.0,0.45,33.67,0.0,0.0
37871,2.2099,1.4224,0.0,0.64,47.14,0.0,0.0
4466,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
33950,16.777,1.3955,0.37,0.48,32.38,0.0,0.0
14953,17.332,1.3993,0.37,0.48,35.88,0.0,0.0
7480,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
24581,35.688,1.3442,0.07,0.32,41.25,0.0,0.0
20863,5.9867,1.3723,0.0,0.45,33.67,0.0,0.0
41566,78.355,1.3328,0.82,0.35,103.62,0.0,0.0
6010,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
20148,5.9867,1.3723,0.0,0.45,33.67,0.0,0.0
5198,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
242,32.613,1.3288,0.43,0.47,31.77,0.0,0.0
40995,78.355,1.3328,0.82,0.35,103.62,0.0,0.0
15216,17.332,1.3993,0.37,0.48,35.88,0.0,0.0
21894,5.9867,1.3723,0.0,0.45,33.67,0.0,0.0
24663,35.688,1.3442,0.07,0.32,41.25,0.0,0.0
23878,8.93,1.4242,0.1,0.05,39.15,0.0,0.444889
35756,7.4257,1.405,0.0,0.48,39.44,0.0,0.0
6305,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
14443,17.332,1.3993,0.37,0.48,35.88,0.0,0.0
49959,4.7113,1.4459,0.15,0.02,38.39,0.0,0.5625
32249,2.3741,1.4961,0.0,0.14,40.2,0.734449,0.0
39082,78.355,1.3328,0.82,0.35,103.62,0.0,0.0
12578,20.524,1.385,0.37,0.48,33.57,0.0,0.0
33648,16.777,1.3955,0.37,0.48,32.38,0.0,0.0
9169,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
10317,20.524,1.385,0.37,0.48,33.57,0.0,0.0
9743,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
30288,19.264,1.3776,0.33,0.56,30.13,0.0,0.0
23825,8.93,1.4242,0.1,0.05,39.15,0.0,0.444889
41100,78.355,1.3328,0.82,0.35,103.62,0.0,0.0
21222,5.9867,1.3723,0.0,0.45,33.67,0.0,0.0
10673,20.524,1.385,0.37,0.48,33.57,0.0,0.0
21652,5.9867,1.3723,0.0,0.45,33.67,0.0,0.0
42244,5.5205,1.3842,0.0,0.45,34.26,0.0,0.0
14543,17.332,1.3993,0.37,0.48,35.88,0.0,0.0
36159,7.4257,1.405,0.0,0.48,39.44,0.0,0.0
32382,2.3741,1.4961,0.0,0.14,40.2,0.734449,0.0
33829,16.777,1.3955,0.37,0.48,32.38,0.0,0.0
16790,20.493,1.3588,0.04,0.49,33.77,0.0,0.0
1391,32.613,1.3288,0.43,0.47,31.77,0.0,0.0
26064,35.688,1.3442,0.07,0.32,41.25,0.0,0.0
27046,19.264,1.3776,0.33,0.56,30.13,0.0,0.0
32307,2.3741,1.4961,0.0,0.14,40.2,0.734449,0.0
28023,19.264,1.3776,0.33,0.56,30.13,0.0,0.0
45758,2.0165,1.4266,0.0,0.0,35.48,0.0,0.0
38493,2.2099,1.4224,0.0,0.64,47.14,0.0,0.0
37725,15.944,1.3978,0.33,0.56,32.44,0.0,0.0
10132,20.524,1.385,0.37,0.48,33.57,0.0,0.0
42762,37.219,1.4305,0.0,0.74,49.56,0.0,0.0
35359,15.13,1.4101,0.37,0.48,36.5,0.0,0.0
6111,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
45352,2.0165,1.4266,0.0,0.0,35.48,0.0,0.0
3519,32.613,1.3288,0.43,0.47,31.77,0.0,0.0
34409,16.777,1.3955,0.37,0.48,32.38,0.0,0.0
33665,16.777,1.3955,0.37,0.48,32.38,0.0,0.0
14243,17.332,1.3993,0.37,0.48,35.88,0.0,0.0
11617,20.524,1.385,0.37,0.48,33.57,0.0,0.0
39385,78.355,1.3328,0.82,0.35,103.62,0.0,0.0
39135,78.355,1.3328,0.82,0.35,103.62,0.0,0.0
2297,32.613,1.3288,0.43,0.47,31.77,0.0,0.0
36582,18.246,1.3788,0.0,0.51,34.5,0.0,0.0
23899,8.93,1.4242,0.1,0.05,39.15,0.0,0.444889
49180,8.331,1.3599,0.0,0.38,33.36,0.0,0.0
40867,78.355,1.3328,0.82,0.35,103.62,0.0,0.0
47009,6.8615,1.3614,0.0,0.45,35.59,0.0,0.0
36264,18.246,1.3788,0.0,0.51,34.5,0.0,0.0
27560,19.264,1.3776,0.33,0.56,30.13,0.0,0.0
30991,19.264,1.3776,0.33,0.56,30.13,0.0,0.0
7676,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
36471,18.246,1.3788,0.0,0.51,34.5,0.0,0.0
17008,20.493,1.3588,0.04,0.49,33.77,0.0,0.0
39252,78.355,1.3328,0.82,0.35,103.62,0.0,0.0
8821,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
12656,20.524,1.385,0.37,0.48,33.57,0.0,0.0
17716,20.493,1.3588,0.04,0.49,33.77,0.0,0.0
27578,19.264,1.3776,0.33,0.56,30.13,0.0,0.0
25548,35.688,1.3442,0.07,0.32,41.25,0.0,0.0
26344,35.688,1.3442,0.07,0.32,41.25,0.0,0.0
21060,5.9867,1.3723,0.0,0.45,33.67,0.0,0.0
11583,20.524,1.385,0.37,0.48,33.57,0.0,0.0
8840,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
48554,1.8819,1.3749,0.0,0.0,25.75,0.0,0.0
23000,5.9867,1.3723,0.0,0.45,33.67,0.0,0.0
30647,19.264,1.3776,0.33,0.56,30.13,0.0,0.0
48724,1.8819,1.3749,0.0,0.0,25.75,0.0,0.0
34074,16.777,1.3955,0.37,0.48,32.38,0.0,0.0
46487,4.24,1.3526,0.0,0.41,23.96,0.0,0.0
18769,20.493,1.3588,0.04,0.49,33.77,0.0,0.0
36462,18.246,1.3788,0.0,0.51,34.5,0.0,0.0
9718,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
28334,19.264,1.3776,0.33,0.56,30.13,0.0,0.0
17697,20.493,1.3588,0.04,0.49,33.77,0.0,0.0
2806,32.613,1.3288,0.43,0.47,31.77,0.0,0.0
27603,19.264,1.3776,0.33,0.56,30.13,0.0,0.0
4493,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
19944,20.493,1.3588,0.04,0.49,33.77,0.0,0.0
25398,35.688,1.3442,0.07,0.32,41.25,0.0,0.0
47636,6.8615,1.3614,0.0,0.45,35.59,0.0,0.0
28142,19.264,1.3776,0.33,0.56,30.13,0.0,0.0
6419,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
3540,32.613,1.3288,0.43,0.47,31.77,0.0,0.0
27401,19.264,1.3776,0.33,0.56,30.13,0.0,0.0
42752,37.219,1.4305,0.0,0.74,49.56,0.0,0.0
10118,20.524,1.385,0.37,0.48,33.57,0.0,0.0
48830,1.8819,1.3749,0.0,0.0,25.75,0.0,0.0
1469,32.613,1.3288,0.43,0.47,31.77,0.0,0.0
26190,35.688,1.3442,0.07,0.32,41.25,0.0,0.0
9497,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
4841,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
11605,20.524,1.385,0.37,0.48,33.57,0.0,0.0
20992,5.9867,1.3723,0.0,0.45,33.67,0.0,0.0
23085,5.9867,1.3723,0.0,0.45,33.67,0.0,0.0
35507,7.4257,1.405,0.0,0.48,39.44,0.0,0.0
25783,35.688,1.3442,0.07,0.32,41.25,0.0,0.0
14877,17.332,1.3993,0.37,0.48,35.88,0.0,0.0
14843,17.332,1.3993,0.37,0.48,35.88,0.0,0.0
15222,17.332,1.3993,0.37,0.48,35.88,0.0,0.0
45128,40.245,1.4318,0.58,0.78,69.07,0.0,0.0
24590,35.688,1.3442,0.07,0.32,41.25,0.0,0.0
16524,20.493,1.3588,0.04,0.49,33.77,0.0,0.0
39171,78.355,1.3328,0.82,0.35,103.62,0.0,0.0
3621,32.613,1.3288,0.43,0.47,31.77,0.0,0.0
34495,16.777,1.3955,0.37,0.48,32.38,0.0,0.0
32288,2.3741,1.4961,0.0,0.14,40.2,0.734449,0.0
49171,8.331,1.3599,0.0,0.38,33.36,0.0,0.0
9662,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
21639,5.9867,1.3723,0.0,0.45,33.67,0.0,0.0
22125,5.9867,1.3723,0.0,0.45,33.67,0.0,0.0
32922,2.3741,1.4961,0.0,0.14,40.2,0.734449,0.0
43881,37.219,1.4305,0.0,0.74,49.56,0.0,0.0
18545,20.493,1.3588,0.04,0.49,33.77,0.0,0.0
27270,19.264,1.3776,0.33,0.56,30.13,0.0,0.0
161,32.613,1.3288,0.43,0.47,31.77,0.0,0.0
41476,78.355,1.3328,0.82,0.35,103.62,0.0,0.0
43974,37.219,1.4305,0.0,0.74,49.56,0.0,0.0
43872,37.219,1.4305,0.0,0.74,49.56,0.0,0.0
6413,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
48398,1.8819,1.3749,0.0,0.0,25.75,0.0,0.0
36084,7.4257,1.405,0.0,0.48,39.44,0.0,0.0
11467,20.524,1.385,0.37,0.48,33.57,0.0,0.0
45286,2.0165,1.4266,0.0,0.0,35.48,0.0,0.0
11398,20.524,1.385,0.37,0.48,33.57,0.0,0.0
15174,17.332,1.3993,0.37,0.48,35.88,0.0,0.0
14365,17.332,1.3993,0.37,0.48,35.88,0.0,0.0
38225,2.2099,1.4224,0.0,0.64,47.14,0.0,0.0
17392,20.493,1.3588,0.04,0.49,33.77,0.0,0.0
32373,2.3741,1.4961,0.0,0.14,40.2,0.734449,0.0
34294,16.777,1.3955,0.37,0.48,32.38,0.0,0.0
34921,15.13,1.4101,0.37,0.48,36.5,0.0,0.0
39724,78.355,1.3328,0.82,0.35,103.62,0.0,0.0
31557,15.619000000000002,1.4507,0.0,0.56,49.76,0.0,0.0
27173,19.264,1.3776,0.33,0.56,30.13,0.0,0.0
42563,37.219,1.4305,0.0,0.74,49.56,0.0,0.0
16394,17.332,1.3993,0.37,0.48,35.88,0.0,0.0
4574,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
3549,32.613,1.3288,0.43,0.47,31.77,0.0,0.0
24633,35.688,1.3442,0.07,0.32,41.25,0.0,0.0
20237,5.9867,1.3723,0.0,0.45,33.67,0.0,0.0
41794,78.355,1.3328,0.82,0.35,103.62,0.0,0.0
35243,15.13,1.4101,0.37,0.48,36.5,0.0,0.0
13956,17.332,1.3993,0.37,0.48,35.88,0.0,0.0
3067,32.613,1.3288,0.43,0.47,31.77,0.0,0.0
42134,78.355,1.3328,0.82,0.35,103.62,0.0,0.0
20306,5.9867,1.3723,0.0,0.45,33.67,0.0,0.0
24878,35.688,1.3442,0.07,0.32,41.25,0.0,0.0
12389,20.524,1.385,0.37,0.48,33.57,0.0,0.0
17744,20.493,1.3588,0.04,0.49,33.77,0.0,0.0
21499,5.9867,1.3723,0.0,0.45,33.67,0.0,0.0
9700,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
47090,6.8615,1.3614,0.0,0.45,35.59,0.0,0.0
43320,37.219,1.4305,0.0,0.74,49.56,0.0,0.0
34415,16.777,1.3955,0.37,0.48,32.38,0.0,0.0
37497,15.944,1.3978,0.33,0.56,32.44,0.0,0.0
9112,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
32317,2.3741,1.4961,0.0,0.14,40.2,0.734449,0.0
17967,20.493,1.3588,0.04,0.49,33.77,0.0,0.0
48035,12.457,1.5396,0.33,0.56,52.96,0.5625,0.0
43640,37.219,1.4305,0.0,0.74,49.56,0.0,0.0
2386,32.613,1.3288,0.43,0.47,31.77,0.0,0.0
37398,15.944,1.3978,0.33,0.56,32.44,0.0,0.0
37462,15.944,1.3978,0.33,0.56,32.44,0.0,0.0
25244,35.688,1.3442,0.07,0.32,41.25,0.0,0.0
39833,78.355,1.3328,0.82,0.35,103.62,0.0,0.0
11377,20.524,1.385,0.37,0.48,33.57,0.0,0.0
42552,37.219,1.4305,0.0,0.74,49.56,0.0,0.0
7574,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
3415,32.613,1.3288,0.43,0.47,31.77,0.0,0.0
27764,19.264,1.3776,0.33,0.56,30.13,0.0,0.0
35311,15.13,1.4101,0.37,0.48,36.5,0.0,0.0
23842,8.93,1.4242,0.1,0.05,39.15,0.0,0.444889
42891,37.219,1.4305,0.0,0.74,49.56,0.0,0.0
25176,35.688,1.3442,0.07,0.32,41.25,0.0,0.0
24204,8.93,1.4242,0.1,0.05,39.15,0.0,0.444889
16633,20.493,1.3588,0.04,0.49,33.77,0.0,0.0
13868,17.332,1.3993,0.37,0.48,35.88,0.0,0.0
42351,5.5205,1.3842,0.0,0.45,34.26,0.0,0.0
10420,20.524,1.385,0.37,0.48,33.57,0.0,0.0
