,eps,n,alpha,beta,gamma,phi**2,psi**2
31602,15.619000000000002,1.4507,0.0,0.56,49.76,0.0,0.0
10595,20.524,1.385,0.37,0.48,33.57,0.0,0.0
38627,2.2099,1.4224,0.0,0.64,47.14,0.0,0.0
21671,5.9867,1.3723,0.0,0.45,33.67,0.0,0.0
16580,20.493,1.3588,0.04,0.49,33.77,0.0,0.0
48639,1.8819,1.3749,0.0,0.0,25.75,0.0,0.0
47257,6.8615,1.3614,0.0,0.45,35.59,0.0,0.0
45098,40.245,1.4318,0.58,0.78,69.07,0.0,0.0
24156,8.93,1.4242,0.1,0.05,39.15,0.0,0.444889
41233,78.355,1.3328,0.82,0.35,103.62,0.0,0.0
10455,20.524,1.385,0.37,0.48,33.57,0.0,0.0
5011,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
33090,2.3741,1.4961,0.0,0.14,40.2,0.734449,0.0
9406,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
23913,8.93,1.4242,0.1,0.05,39.15,0.0,0.444889
20500,5.9867,1.3723,0.0,0.45,33.67,0.0,0.0
14115,17.332,1.3993,0.37,0.48,35.88,0.0,0.0
25339,35.688,1.3442,0.07,0.32,41.25,0.0,0.0
33758,16.777,1.3955,0.37,0.48,32.38,0.0,0.0
8403,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
8888,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
4475,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
52932,1.8371,1.3575,0.0,0.0,22.3,0.0,0.0
5193,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
27550,19.264,1.3776,0.33,0.56,30.13,0.0,0.0
49798,4.7113,1.4459,0.15,0.02,38.39,0.0,0.5625
49398,4.7113,1.4459,0.15,0.02,38.39,0.0,0.5625
34209,16.777,1.3955,0.37,0.48,32.38,0.0,0.0
19192,20.493,1.3588,0.04,0.49,33.77,0.0,0.0
8289,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
22177,5.9867,1.3723,0.0,0.45,33.67,0.0,0.0
25407,35.688,1.3442,0.07,0.32,41.25,0.0,0.0
10046,20.524,1.385,0.37,0.48,33.57,0.0,0.0
696,32.613,1.3288,0.43,0.47,31.77,0.0,0.0
42171,78.355,1.3328,0.82,0.35,103.62,0.0,0.0
16831,20.493,1.3588,0.04,0.49,33.77,0.0,0.0
15928,17.332,1.3993,0.37,0.48,35.88,0.0,0.0
12938,20.524,1.385,0.37,0.48,33.57,0.0,0.0
28946,19.264,1.3776,0.33,0.56,30.13,0.0,0.0
1527,32.613,1.3288,0.43,0.47,31.77,0.0,0.0
18164,20.493,1.3588,0.04,0.49,33.77,0.0,0.0
26336,35.688,1.3442,0.07,0.32,41.25,0.0,0.0
36557,18.246,1.3788,0.0,0.51,34.5,0.0,0.0
8567,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
21269,5.9867,1.3723,0.0,0.45,33.67,0.0,0.0
47083,6.8615,1.3614,0.0,0.45,35.59,0.0,0.0
35616,7.4257,1.405,0.0,0.48,39.44,0.0,0.0
