,SP,SdP,SA,SB
3557,0.608,0.904,0.605,0.545
17430,0.651,0.907,0.0,0.475
15,0.608,0.904,0.605,0.545
23726,0.656,0.603,0.0,0.542
25453,0.645,0.974,0.044,0.286
17981,0.651,0.907,0.0,0.475
17402,0.651,0.907,0.0,0.475
22721,0.656,0.603,0.0,0.542
23889,0.761,0.769,0.04,0.178
14971,0.674,0.655,0.341,0.809
17884,0.651,0.907,0.0,0.475
8974,0.633,0.783,0.4,0.658
36519,0.669,0.872,0.0,0.52
37,0.608,0.904,0.605,0.545
47291,0.645,0.637,0.0,0.527
39713,0.681,0.997,1.062,0.025
10160,0.658,0.748,0.367,0.782
10272,0.658,0.748,0.367,0.782
33372,0.782,0.284,0.0,0.128
39480,0.681,0.997,1.062,0.025
8172,0.633,0.783,0.4,0.658
40322,0.681,0.997,1.062,0.025
16591,0.651,0.907,0.0,0.475
30587,0.633,0.808,0.283,0.83
27251,0.633,0.808,0.283,0.83
32066,0.782,0.284,0.0,0.128
19894,0.651,0.907,0.0,0.475
11836,0.658,0.748,0.367,0.782
10430,0.658,0.748,0.367,0.782
13436,0.674,0.655,0.341,0.809
39322,0.681,0.997,1.062,0.025
6826,0.633,0.783,0.4,0.658
31286,0.713,0.454,0.299,0.923
39929,0.681,0.997,1.062,0.025
20510,0.656,0.603,0.0,0.542
31439,0.713,0.454,0.299,0.923
8667,0.633,0.783,0.4,0.658
34233,0.657,0.684,0.311,0.828
20491,0.656,0.603,0.0,0.542
31584,0.766,0.745,0.0,0.482
6059,0.633,0.783,0.4,0.658
4896,0.633,0.783,0.4,0.658
32195,0.782,0.284,0.0,0.128
48090,0.632,0.732,0.145,0.928
16748,0.651,0.907,0.0,0.475
34904,0.687,0.587,0.319,0.86
21665,0.656,0.603,0.0,0.542
12049,0.658,0.748,0.367,0.782
10471,0.658,0.748,0.367,0.782
43266,0.759,0.977,0.031,0.613
36282,0.669,0.872,0.0,0.52
14773,0.674,0.655,0.341,0.809
27901,0.633,0.808,0.283,0.83
37808,0.737,0.312,0.0,0.444
11759,0.658,0.748,0.367,0.782
16843,0.651,0.907,0.0,0.475
17675,0.651,0.907,0.0,0.475
42535,0.759,0.977,0.031,0.613
36888,0.669,0.872,0.0,0.52
776,0.608,0.904,0.605,0.545
9414,0.633,0.783,0.4,0.658
33572,0.782,0.284,0.0,0.128
47102,0.645,0.637,0.0,0.527
28926,0.633,0.808,0.283,0.83
38346,0.737,0.312,0.0,0.444
30937,0.633,0.808,0.283,0.83
31178,0.713,0.454,0.299,0.923
48324,0.635,0.0,0.0,0.083
14805,0.674,0.655,0.341,0.809
13887,0.674,0.655,0.341,0.809
24957,0.645,0.974,0.044,0.286
12059,0.658,0.748,0.367,0.782
26180,0.645,0.974,0.044,0.286
37169,0.656,0.706,0.221,0.888
52816,0.782,0.284,0.0,0.128
8558,0.633,0.783,0.4,0.658
9235,0.633,0.783,0.4,0.658
28749,0.633,0.808,0.283,0.83
17375,0.651,0.907,0.0,0.475
47302,0.645,0.637,0.0,0.527
25648,0.645,0.974,0.044,0.286
31633,0.766,0.745,0.0,0.482
4711,0.633,0.783,0.4,0.658
20835,0.656,0.603,0.0,0.542
27471,0.633,0.808,0.283,0.83
24742,0.645,0.974,0.044,0.286
29313,0.633,0.808,0.283,0.83
6346,0.633,0.783,0.4,0.658
11939,0.658,0.748,0.367,0.782
9458,0.633,0.783,0.4,0.658
31011,0.633,0.808,0.283,0.83
12976,0.658,0.748,0.367,0.782
23455,0.656,0.603,0.0,0.542
420,0.608,0.904,0.605,0.545
43671,0.759,0.977,0.031,0.613
20038,0.656,0.603,0.0,0.542
48120,0.635,0.0,0.0,0.083
41523,0.681,0.997,1.062,0.025
40501,0.681,0.997,1.062,0.025
24147,0.761,0.769,0.04,0.178
42617,0.759,0.977,0.031,0.613
3576,0.608,0.904,0.605,0.545
25538,0.645,0.974,0.044,0.286
34376,0.657,0.684,0.311,0.828
11492,0.658,0.748,0.367,0.782
29813,0.633,0.808,0.283,0.83
35340,0.687,0.587,0.319,0.86
5031,0.633,0.783,0.4,0.658
30262,0.633,0.808,0.283,0.83
4954,0.633,0.783,0.4,0.658
22959,0.656,0.603,0.0,0.542
8677,0.633,0.783,0.4,0.658
8992,0.633,0.783,0.4,0.658
21470,0.656,0.603,0.0,0.542
11788,0.658,0.748,0.367,0.782
26315,0.645,0.974,0.044,0.286
22099,0.656,0.603,0.0,0.542
49407,0.783,0.614,0.047,0.071
31958,0.782,0.284,0.0,0.128
21726,0.656,0.603,0.0,0.542
346,0.608,0.904,0.605,0.545
40402,0.681,0.997,1.062,0.025
38751,0.737,0.312,0.0,0.444
28874,0.633,0.808,0.283,0.83
33960,0.657,0.684,0.311,0.828
31082,0.713,0.454,0.299,0.923
8748,0.633,0.783,0.4,0.658
12407,0.658,0.748,0.367,0.782
11948,0.658,0.748,0.367,0.782
47661,0.645,0.637,0.0,0.527
19670,0.651,0.907,0.0,0.475
8202,0.633,0.783,0.4,0.658
4757,0.633,0.783,0.4,0.658
46753,0.793,0.27,0.0,0.124
51513,0.692,0.785,0.0,0.557
34305,0.657,0.684,0.311,0.828
1083,0.608,0.904,0.605,0.545
28577,0.633,0.808,0.283,0.83
37757,0.737,0.312,0.0,0.444
606,0.608,0.904,0.605,0.545
9610,0.633,0.783,0.4,0.658
13664,0.674,0.655,0.341,0.809
12443,0.658,0.748,0.367,0.782
43557,0.759,0.977,0.031,0.613
39278,0.681,0.997,1.062,0.025
10369,0.658,0.748,0.367,0.782
22901,0.656,0.603,0.0,0.542
21973,0.656,0.603,0.0,0.542
32003,0.782,0.284,0.0,0.128
38843,0.737,0.312,0.0,0.444
19979,0.656,0.603,0.0,0.542
4814,0.633,0.783,0.4,0.658
41436,0.681,0.997,1.062,0.025
31064,0.713,0.454,0.299,0.923
13379,0.658,0.748,0.367,0.782
12756,0.658,0.748,0.367,0.782
40795,0.681,0.997,1.062,0.025
30415,0.633,0.808,0.283,0.83
47979,0.674,0.535,0.0,0.525
36540,0.669,0.872,0.0,0.52
14965,0.674,0.655,0.341,0.809
16291,0.674,0.655,0.341,0.809
6160,0.633,0.783,0.4,0.658
18537,0.651,0.907,0.0,0.475
12270,0.658,0.748,0.367,0.782
28775,0.633,0.808,0.283,0.83
21582,0.656,0.603,0.0,0.542
20961,0.656,0.603,0.0,0.542
43739,0.759,0.977,0.031,0.613
10326,0.658,0.748,0.367,0.782
377,0.608,0.904,0.605,0.545
42006,0.681,0.997,1.062,0.025
41576,0.681,0.997,1.062,0.025
5664,0.633,0.783,0.4,0.658
33449,0.782,0.284,0.0,0.128
39051,0.681,0.997,1.062,0.025
7366,0.633,0.783,0.4,0.658
29256,0.633,0.808,0.283,0.83
28759,0.633,0.808,0.283,0.83
16608,0.651,0.907,0.0,0.475
37535,0.656,0.706,0.221,0.888
33117,0.782,0.284,0.0,0.128
5301,0.633,0.783,0.4,0.658
28481,0.633,0.808,0.283,0.83
23274,0.656,0.603,0.0,0.542
16328,0.674,0.655,0.341,0.809
34384,0.657,0.684,0.311,0.828
47365,0.645,0.637,0.0,0.527
53896,0.848,0.808,0.044,0.365
19571,0.651,0.907,0.0,0.475
25567,0.645,0.974,0.044,0.286
32238,0.782,0.284,0.0,0.128
34703,0.657,0.684,0.311,0.828
43286,0.759,0.977,0.031,0.613
41718,0.681,0.997,1.062,0.025
16025,0.674,0.655,0.341,0.809
10125,0.658,0.748,0.367,0.782
35795,0.714,0.634,0.0,0.591
6685,0.633,0.783,0.4,0.658
20366,0.656,0.603,0.0,0.542
39218,0.681,0.997,1.062,0.025
503,0.608,0.904,0.605,0.545
3481,0.608,0.904,0.605,0.545
29402,0.633,0.808,0.283,0.83
23118,0.656,0.603,0.0,0.542
48739,0.616,0.0,0.0,0.056
33489,0.782,0.284,0.0,0.128
37927,0.737,0.312,0.0,0.444
17479,0.651,0.907,0.0,0.475
2168,0.608,0.904,0.605,0.545
4359,0.608,0.904,0.605,0.545
20949,0.656,0.603,0.0,0.542
45135,0.777,0.91,0.717,0.534
18230,0.651,0.907,0.0,0.475
38008,0.737,0.312,0.0,0.444
41803,0.681,0.997,1.062,0.025
24568,0.645,0.974,0.044,0.286
45453,0.683,0.0,0.0,0.073
35371,0.687,0.587,0.319,0.86
13984,0.674,0.655,0.341,0.809
13102,0.658,0.748,0.367,0.782
13414,0.674,0.655,0.341,0.809
36435,0.669,0.872,0.0,0.52
28682,0.633,0.808,0.283,0.83
49935,0.783,0.614,0.047,0.071
4566,0.633,0.783,0.4,0.658
41551,0.681,0.997,1.062,0.025
27823,0.633,0.808,0.283,0.83
2722,0.608,0.904,0.605,0.545
8739,0.633,0.783,0.4,0.658
38355,0.737,0.312,0.0,0.444
52451,0.698,0.552,0.315,0.879
37057,0.669,0.872,0.0,0.52
2461,0.608,0.904,0.605,0.545
16795,0.651,0.907,0.0,0.475
4602,0.633,0.783,0.4,0.658
32446,0.782,0.284,0.0,0.128
22504,0.656,0.603,0.0,0.542
30043,0.633,0.808,0.283,0.83
23018,0.656,0.603,0.0,0.542
1554,0.608,0.904,0.605,0.545
19405,0.651,0.907,0.0,0.475
31905,0.782,0.284,0.0,0.128
4793,0.633,0.783,0.4,0.658
25517,0.645,0.974,0.044,0.286
45087,0.777,0.91,0.717,0.534
10179,0.658,0.748,0.367,0.782
19911,0.651,0.907,0.0,0.475
43614,0.759,0.977,0.031,0.613
43472,0.759,0.977,0.031,0.613
28513,0.633,0.808,0.283,0.83
48749,0.616,0.0,0.0,0.056
33706,0.657,0.684,0.311,0.828
14523,0.674,0.655,0.341,0.809
13738,0.674,0.655,0.341,0.809
7823,0.633,0.783,0.4,0.658
9778,0.633,0.783,0.4,0.658
27441,0.633,0.808,0.283,0.83
32045,0.782,0.284,0.0,0.128
45654,0.683,0.0,0.0,0.073
38602,0.737,0.312,0.0,0.444
24388,0.645,0.974,0.044,0.286
22491,0.656,0.603,0.0,0.542
39490,0.681,0.997,1.062,0.025
23613,0.656,0.603,0.0,0.542
48422,0.616,0.0,0.0,0.056
34403,0.657,0.684,0.311,0.828
7032,0.633,0.783,0.4,0.658
29079,0.633,0.808,0.283,0.83
43497,0.759,0.977,0.031,0.613
14945,0.674,0.655,0.341,0.809
18527,0.651,0.907,0.0,0.475
2511,0.608,0.904,0.605,0.545
24599,0.645,0.974,0.044,0.286
4261,0.608,0.904,0.605,0.545
1945,0.608,0.904,0.605,0.545
1558,0.608,0.904,0.605,0.545
42225,0.67,0.559,0.0,0.548
30305,0.633,0.808,0.283,0.83
49291,0.648,0.707,0.0,0.477
38286,0.737,0.312,0.0,0.444
11229,0.658,0.748,0.367,0.782
43271,0.759,0.977,0.031,0.613
3424,0.608,0.904,0.605,0.545
30281,0.633,0.808,0.283,0.83
28253,0.633,0.808,0.283,0.83
34100,0.657,0.684,0.311,0.828
624,0.608,0.904,0.605,0.545
53662,0.65,0.0,0.0,0.079
34782,0.687,0.587,0.319,0.86
25281,0.645,0.974,0.044,0.286
33786,0.657,0.684,0.311,0.828
15111,0.674,0.655,0.341,0.809
42541,0.759,0.977,0.031,0.613
20547,0.656,0.603,0.0,0.542
11510,0.658,0.748,0.367,0.782
27978,0.633,0.808,0.283,0.83
3799,0.608,0.904,0.605,0.545
19455,0.651,0.907,0.0,0.475
9308,0.633,0.783,0.4,0.658
26682,0.645,0.974,0.044,0.286
29986,0.633,0.808,0.283,0.83
19728,0.651,0.907,0.0,0.475
5712,0.633,0.783,0.4,0.658
9018,0.633,0.783,0.4,0.658
10208,0.658,0.748,0.367,0.782
2665,0.608,0.904,0.605,0.545
45079,0.777,0.91,0.717,0.534
5829,0.633,0.783,0.4,0.658
40898,0.681,0.997,1.062,0.025
2148,0.608,0.904,0.605,0.545
29137,0.633,0.808,0.283,0.83
7698,0.633,0.783,0.4,0.658
13848,0.674,0.655,0.341,0.809
10730,0.658,0.748,0.367,0.782
37354,0.656,0.706,0.221,0.888
36548,0.669,0.872,0.0,0.52
16430,0.674,0.655,0.341,0.809
38336,0.737,0.312,0.0,0.444
47216,0.645,0.637,0.0,0.527
6736,0.633,0.783,0.4,0.658
13838,0.674,0.655,0.341,0.809
4145,0.608,0.904,0.605,0.545
21128,0.656,0.603,0.0,0.542
34914,0.687,0.587,0.319,0.86
42077,0.681,0.997,1.062,0.025
38789,0.737,0.312,0.0,0.444
47567,0.645,0.637,0.0,0.527
36231,0.714,0.634,0.0,0.591
43080,0.759,0.977,0.031,0.613
51311,0.771,0.742,0.03,0.126
24368,0.645,0.974,0.044,0.286
26220,0.645,0.974,0.044,0.286
48765,0.616,0.0,0.0,0.056
40466,0.681,0.997,1.062,0.025
43631,0.759,0.977,0.031,0.613
20195,0.656,0.603,0.0,0.542
37670,0.656,0.706,0.221,0.888
8359,0.633,0.783,0.4,0.658
7885,0.633,0.783,0.4,0.658
35527,0.714,0.634,0.0,0.591
35831,0.714,0.634,0.0,0.591
15823,0.674,0.655,0.341,0.809
24194,0.761,0.769,0.04,0.178
20451,0.656,0.603,0.0,0.542
33502,0.782,0.284,0.0,0.128
34582,0.657,0.684,0.311,0.828
15785,0.674,0.655,0.341,0.809
5205,0.633,0.783,0.4,0.658
22831,0.656,0.603,0.0,0.542
3232,0.608,0.904,0.605,0.545
20246,0.656,0.603,0.0,0.542
14269,0.674,0.655,0.341,0.809
36415,0.669,0.872,0.0,0.52
32411,0.782,0.284,0.0,0.128
37801,0.737,0.312,0.0,0.444
12424,0.658,0.748,0.367,0.782
23094,0.656,0.603,0.0,0.542
36962,0.669,0.872,0.0,0.52
47617,0.645,0.637,0.0,0.527
33860,0.657,0.684,0.311,0.828
45867,0.683,0.0,0.0,0.073
14744,0.674,0.655,0.341,0.809
38195,0.737,0.312,0.0,0.444
28958,0.633,0.808,0.283,0.83
39089,0.681,0.997,1.062,0.025
23719,0.656,0.603,0.0,0.542
27685,0.633,0.808,0.283,0.83
1661,0.608,0.904,0.605,0.545
3509,0.608,0.904,0.605,0.545
4887,0.633,0.783,0.4,0.658
28980,0.633,0.808,0.283,0.83
9891,0.633,0.783,0.4,0.658
18106,0.651,0.907,0.0,0.475
21164,0.656,0.603,0.0,0.542
33430,0.782,0.284,0.0,0.128
39352,0.681,0.997,1.062,0.025
22138,0.656,0.603,0.0,0.542
19679,0.651,0.907,0.0,0.475
13768,0.674,0.655,0.341,0.809
26162,0.645,0.974,0.044,0.286
4051,0.608,0.904,0.605,0.545
41832,0.681,0.997,1.062,0.025
7621,0.633,0.783,0.4,0.658
19811,0.651,0.907,0.0,0.475
5993,0.633,0.783,0.4,0.658
16460,0.674,0.655,0.341,0.809
35867,0.714,0.634,0.0,0.591
20462,0.656,0.603,0.0,0.542
4945,0.633,0.783,0.4,0.658
23578,0.656,0.603,0.0,0.542
24658,0.645,0.974,0.044,0.286
22657,0.656,0.603,0.0,0.542
13369,0.658,0.748,0.367,0.782
41292,0.681,0.997,1.062,0.025
32977,0.782,0.284,0.0,0.128
28382,0.633,0.808,0.283,0.83
16534,0.651,0.907,0.0,0.475
9878,0.633,0.783,0.4,0.658
43442,0.759,0.977,0.031,0.613
43043,0.759,0.977,0.031,0.613
39460,0.681,0.997,1.062,0.025
384,0.608,0.904,0.605,0.545
23734,0.656,0.603,0.0,0.542
12740,0.658,0.748,0.367,0.782
13508,0.674,0.655,0.341,0.809
21175,0.656,0.603,0.0,0.542
14726,0.674,0.655,0.341,0.809
43958,0.759,0.977,0.031,0.613
6179,0.633,0.783,0.4,0.658
24270,0.645,0.974,0.044,0.286
13324,0.658,0.748,0.367,0.782
41263,0.681,0.997,1.062,0.025
47180,0.645,0.637,0.0,0.527
42477,0.759,0.977,0.031,0.613
4749,0.633,0.783,0.4,0.658
35747,0.714,0.634,0.0,0.591
1399,0.608,0.904,0.605,0.545
10089,0.658,0.748,0.367,0.782
25020,0.645,0.974,0.044,0.286
4294,0.608,0.904,0.605,0.545
247,0.608,0.904,0.605,0.545
15131,0.674,0.655,0.341,0.809
42083,0.681,0.997,1.062,0.025
4132,0.608,0.904,0.605,0.545
272,0.608,0.904,0.605,0.545
13893,0.674,0.655,0.341,0.809
30421,0.633,0.808,0.283,0.83
26835,0.645,0.974,0.044,0.286
156,0.608,0.904,0.605,0.545
26297,0.645,0.974,0.044,0.286
39570,0.681,0.997,1.062,0.025
39501,0.681,0.997,1.062,0.025
22969,0.656,0.603,0.0,0.542
43432,0.759,0.977,0.031,0.613
29940,0.633,0.808,0.283,0.83
34285,0.657,0.684,0.311,0.828
27495,0.633,0.808,0.283,0.83
33739,0.657,0.684,0.311,0.828
38218,0.737,0.312,0.0,0.444
3224,0.608,0.904,0.605,0.545
4856,0.633,0.783,0.4,0.658
3697,0.608,0.904,0.605,0.545
27803,0.633,0.808,0.283,0.83
40835,0.681,0.997,1.062,0.025
1092,0.608,0.904,0.605,0.545
42607,0.759,0.977,0.031,0.613
25042,0.645,0.974,0.044,0.286
8339,0.633,0.783,0.4,0.658
42442,0.759,0.977,0.031,0.613
3568,0.608,0.904,0.605,0.545
4275,0.608,0.904,0.605,0.545
38099,0.737,0.312,0.0,0.444
3077,0.608,0.904,0.605,0.545
26355,0.645,0.974,0.044,0.286
48533,0.616,0.0,0.0,0.056
19479,0.651,0.907,0.0,0.475
37988,0.737,0.312,0.0,0.444
40479,0.681,0.997,1.062,0.025
9055,0.633,0.783,0.4,0.658
1679,0.608,0.904,0.605,0.545
28845,0.633,0.808,0.283,0.83
9506,0.633,0.783,0.4,0.658
19360,0.651,0.907,0.0,0.475
23377,0.656,0.603,0.0,0.542
43574,0.759,0.977,0.031,0.613
45527,0.683,0.0,0.0,0.073
42980,0.759,0.977,0.031,0.613
16076,0.674,0.655,0.341,0.809
48546,0.616,0.0,0.0,0.056
29862,0.633,0.808,0.283,0.83
27300,0.633,0.808,0.283,0.83
35902,0.714,0.634,0.0,0.591
47370,0.645,0.637,0.0,0.527
18676,0.651,0.907,0.0,0.475
2502,0.608,0.904,0.605,0.545
25196,0.645,0.974,0.044,0.286
34930,0.687,0.587,0.319,0.86
4809,0.633,0.783,0.4,0.658
513,0.608,0.904,0.605,0.545
34443,0.657,0.684,0.311,0.828
47001,0.645,0.637,0.0,0.527
38107,0.737,0.312,0.0,0.444
3490,0.608,0.904,0.605,0.545
15283,0.674,0.655,0.341,0.809
49788,0.783,0.614,0.047,0.071
37250,0.656,0.706,0.221,0.888
118,0.608,0.904,0.605,0.545
30095,0.633,0.808,0.283,0.83
33925,0.657,0.684,0.311,0.828
43710,0.759,0.977,0.031,0.613
35262,0.687,0.587,0.319,0.86
17085,0.651,0.907,0.0,0.475
9067,0.633,0.783,0.4,0.658
32479,0.782,0.284,0.0,0.128
17316,0.651,0.907,0.0,0.475
5646,0.633,0.783,0.4,0.658
43306,0.759,0.977,0.031,0.613
27588,0.633,0.808,0.283,0.83
12338,0.658,0.748,0.367,0.782
18815,0.651,0.907,0.0,0.475
20351,0.656,0.603,0.0,0.542
35330,0.687,0.587,0.319,0.86
18471,0.651,0.907,0.0,0.475
10055,0.658,0.748,0.367,0.782
21386,0.656,0.603,0.0,0.542
7613,0.633,0.783,0.4,0.658
28973,0.633,0.808,0.283,0.83
19330,0.651,0.907,0.0,0.475
28314,0.633,0.808,0.283,0.83
36242,0.669,0.872,0.0,0.52
31896,0.782,0.284,0.0,0.128
49578,0.783,0.614,0.047,0.071
16417,0.674,0.655,0.341,0.809
14218,0.674,0.655,0.341,0.809
44842,0.777,0.91,0.717,0.534
34897,0.687,0.587,0.319,0.86
39681,0.681,0.997,1.062,0.025
4773,0.633,0.783,0.4,0.658
27608,0.633,0.808,0.283,0.83
3611,0.608,0.904,0.605,0.545
28606,0.633,0.808,0.283,0.83
6297,0.633,0.783,0.4,0.658
41401,0.681,0.997,1.062,0.025
15028,0.674,0.655,0.341,0.809
30186,0.633,0.808,0.283,0.83
39059,0.681,0.997,1.062,0.025
45773,0.683,0.0,0.0,0.073
9028,0.633,0.783,0.4,0.658
41704,0.681,0.997,1.062,0.025
47459,0.645,0.637,0.0,0.527
28491,0.633,0.808,0.283,0.83
32534,0.782,0.284,0.0,0.128
14718,0.674,0.655,0.341,0.809
11337,0.658,0.748,0.367,0.782
13627,0.674,0.655,0.341,0.809
17990,0.651,0.907,0.0,0.475
20426,0.656,0.603,0.0,0.542
4314,0.608,0.904,0.605,0.545
10654,0.658,0.748,0.367,0.782
41732,0.681,0.997,1.062,0.025
17588,0.651,0.907,0.0,0.475
11457,0.658,0.748,0.367,0.782
16653,0.651,0.907,0.0,0.475
4609,0.633,0.783,0.4,0.658
17201,0.651,0.907,0.0,0.475
31073,0.713,0.454,0.299,0.923
47410,0.645,0.637,0.0,0.527
8257,0.633,0.783,0.4,0.658
36659,0.669,0.872,0.0,0.52
33970,0.657,0.684,0.311,0.828
7564,0.633,0.783,0.4,0.658
24836,0.645,0.974,0.044,0.286
35349,0.687,0.587,0.319,0.86
16686,0.651,0.907,0.0,0.475
30216,0.633,0.808,0.283,0.83
26099,0.645,0.974,0.044,0.286
48709,0.616,0.0,0.0,0.056
3037,0.608,0.904,0.605,0.545
20010,0.656,0.603,0.0,0.542
11669,0.658,0.748,0.367,0.782
9541,0.633,0.783,0.4,0.658
10353,0.658,0.748,0.367,0.782
11028,0.658,0.748,0.367,0.782
2763,0.608,0.904,0.605,0.545
37319,0.656,0.706,0.221,0.888
10406,0.658,0.748,0.367,0.782
14813,0.674,0.655,0.341,0.809
31389,0.713,0.454,0.299,0.923
20721,0.656,0.603,0.0,0.542
21913,0.656,0.603,0.0,0.542
3388,0.608,0.904,0.605,0.545
11651,0.658,0.748,0.367,0.782
14932,0.674,0.655,0.341,0.809
35208,0.687,0.587,0.319,0.86
19109,0.651,0.907,0.0,0.475
33631,0.657,0.684,0.311,0.828
42734,0.759,0.977,0.031,0.613
32118,0.782,0.284,0.0,0.128
37131,0.656,0.706,0.221,0.888
43597,0.759,0.977,0.031,0.613
16770,0.651,0.907,0.0,0.475
2219,0.608,0.904,0.605,0.545
30108,0.633,0.808,0.283,0.83
4976,0.633,0.783,0.4,0.658
12512,0.658,0.748,0.367,0.782
17384,0.651,0.907,0.0,0.475
5039,0.633,0.783,0.4,0.658
4444,0.633,0.783,0.4,0.658
28537,0.633,0.808,0.283,0.83
9319,0.633,0.783,0.4,0.658
5510,0.633,0.783,0.4,0.658
13274,0.658,0.748,0.367,0.782
15882,0.674,0.655,0.341,0.809
3138,0.608,0.904,0.605,0.545
4556,0.633,0.783,0.4,0.658
34427,0.657,0.684,0.311,0.828
26968,0.645,0.974,0.044,0.286
16243,0.674,0.655,0.341,0.809
41621,0.681,0.997,1.062,0.025
33841,0.657,0.684,0.311,0.828
23883,0.761,0.769,0.04,0.178
17495,0.651,0.907,0.0,0.475
325,0.608,0.904,0.605,0.545
21289,0.656,0.603,0.0,0.542
39203,0.681,0.997,1.062,0.025
42207,0.67,0.559,0.0,0.548
24710,0.645,0.974,0.044,0.286
28994,0.633,0.808,0.283,0.83
45397,0.683,0.0,0.0,0.073
11248,0.658,0.748,0.367,0.782
11112,0.658,0.748,0.367,0.782
16661,0.651,0.907,0.0,0.475
8279,0.633,0.783,0.4,0.658
24042,0.761,0.769,0.04,0.178
41321,0.681,0.997,1.062,0.025
10281,0.658,0.748,0.367,0.782
37215,0.656,0.706,0.221,0.888
18145,0.651,0.907,0.0,0.475
49852,0.783,0.614,0.047,0.071
24130,0.761,0.769,0.04,0.178
16125,0.674,0.655,0.341,0.809
34834,0.687,0.587,0.319,0.86
39369,0.681,0.997,1.062,0.025
550,0.608,0.904,0.605,0.545
20704,0.656,0.603,0.0,0.542
36331,0.669,0.872,0.0,0.52
12878,0.658,0.748,0.367,0.782
8454,0.633,0.783,0.4,0.658
4668,0.633,0.783,0.4,0.658
13463,0.674,0.655,0.341,0.809
23109,0.656,0.603,0.0,0.542
16184,0.674,0.655,0.341,0.809
45743,0.683,0.0,0.0,0.073
42409,0.67,0.559,0.0,0.548
39960,0.681,0.997,1.062,0.025
48719,0.616,0.0,0.0,0.056
21108,0.656,0.603,0.0,0.542
9089,0.633,0.783,0.4,0.658
42451,0.759,0.977,0.031,0.613
24556,0.645,0.974,0.044,0.286
45444,0.683,0.0,0.0,0.073
43507,0.759,0.977,0.031,0.613
39640,0.681,0.997,1.062,0.025
29959,0.633,0.808,0.283,0.83
3604,0.608,0.904,0.605,0.545
4984,0.633,0.783,0.4,0.658
24360,0.645,0.974,0.044,0.286
16314,0.674,0.655,0.341,0.809
27127,0.633,0.808,0.283,0.83
23332,0.656,0.603,0.0,0.542
8731,0.633,0.783,0.4,0.658
47742,0.674,0.535,0.0,0.525
32203,0.782,0.284,0.0,0.128
33797,0.657,0.684,0.311,0.828
24475,0.645,0.974,0.044,0.286
17706,0.651,0.907,0.0,0.475
23208,0.656,0.603,0.0,0.542
42741,0.759,0.977,0.031,0.613
27965,0.633,0.808,0.283,0.83
41696,0.681,0.997,1.062,0.025
17064,0.651,0.907,0.0,0.475
20456,0.656,0.603,0.0,0.542
41531,0.681,0.997,1.062,0.025
11818,0.658,0.748,0.367,0.782
46746,0.793,0.27,0.0,0.124
45418,0.683,0.0,0.0,0.073
7236,0.633,0.783,0.4,0.658
37641,0.656,0.706,0.221,0.888
40912,0.681,0.997,1.062,0.025
34091,0.657,0.684,0.311,0.828
33579,0.782,0.284,0.0,0.128
13482,0.674,0.655,0.341,0.809
29568,0.633,0.808,0.283,0.83
48759,0.616,0.0,0.0,0.056
21560,0.656,0.603,0.0,0.542
20215,0.656,0.603,0.0,0.542
4060,0.608,0.904,0.605,0.545
31968,0.782,0.284,0.0,0.128
6693,0.633,0.783,0.4,0.658
1445,0.608,0.904,0.605,0.545
4728,0.633,0.783,0.4,0.658
19654,0.651,0.907,0.0,0.475
24917,0.645,0.974,0.044,0.286
26364,0.645,0.974,0.044,0.286
41076,0.681,0.997,1.062,0.025
38273,0.737,0.312,0.0,0.444
5954,0.633,0.783,0.4,0.658
20904,0.656,0.603,0.0,0.542
30796,0.633,0.808,0.283,0.83
37292,0.656,0.706,0.221,0.888
44646,0.777,0.91,0.717,0.534
23898,0.761,0.769,0.04,0.178
51289,0.771,0.742,0.03,0.126
5266,0.633,0.783,0.4,0.658
30149,0.633,0.808,0.283,0.83
14571,0.674,0.655,0.341,0.809
23494,0.656,0.603,0.0,0.542
27241,0.633,0.808,0.283,0.83
16622,0.651,0.907,0.0,0.475
36600,0.669,0.872,0.0,0.52
5845,0.633,0.783,0.4,0.658
27330,0.633,0.808,0.283,0.83
43462,0.759,0.977,0.031,0.613
2823,0.608,0.904,0.605,0.545
29443,0.633,0.808,0.283,0.83
12787,0.658,0.748,0.367,0.782
24897,0.645,0.974,0.044,0.286
24520,0.645,0.974,0.044,0.286
21004,0.656,0.603,0.0,0.542
2538,0.608,0.904,0.605,0.545
6194,0.633,0.783,0.4,0.658
36255,0.669,0.872,0.0,0.52
28343,0.633,0.808,0.283,0.83
42298,0.67,0.559,0.0,0.548
4901,0.633,0.783,0.4,0.658
10819,0.658,0.748,0.367,0.782
4538,0.633,0.783,0.4,0.658
27417,0.633,0.808,0.283,0.83
49311,0.648,0.707,0.0,0.477
