no.,formula,name,SP,SdP,SA,SB,smiles
101,C6H14O,diisopropyl ether,0.625,0.324,0.0,0.657,CC(C)OC(C)C
102,C6H14O,dipropyl ether,0.645,0.286,0.0,0.666,CCCOCCC
103,C6H14O,1-hexanol,0.698,0.552,0.315,0.879,CCCCCCO
104,C6H14O,2-hexanol,0.683,0.601,0.14,0.966,CCCCC(C)O
105,C6H15N,triethylamine,0.66,0.108,0.0,0.885,CCN(CC)CC
106,C6H18N3PO,hexamethylphosphoramide,0.744,1.1,0.0,0.813,CN(C)P(=O)(N(C)C)N(C)C
107,C7H5F3,(trifluoromethyl)benzene,0.694,0.663,0.014,0.073,FC(F)(F)c1ccccc1
108,C7H5N,benzonitrile,0.851,0.852,0.047,0.281,N#Cc1ccccc1
109,C7H8,toluene,0.782,0.284,0.0,0.128,Cc1ccccc1
110,C7H8O,anisole,0.82,0.543,0.084,0.299,COc1ccccc1
111,C7H8O,benzyl alcohol,0.861,0.788,0.409,0.461,OCc1ccccc1
112,C7H14,cycloheptane,0.703,0.0,0.0,0.05,C1CCCCCC1
113,C7H14,methylcyclohexane,0.675,0.0,0.0,0.069,CC1CCCCC1
114,C7H14O,cycloheptanol,0.77,0.546,0.183,0.911,OC1CCCCCC1
115,C7H14O2,heptanoic acid,0.704,0.238,0.445,0.328,CCCCCCC(O)=O
116,C7H16,heptane,0.635,0.0,0.0,0.083,CCCCCCC
117,C7H16O,1-heptanol,0.706,0.499,0.302,0.912,CCCCCCCO
118,C8H8O,acetophenone,0.848,0.808,0.044,0.365,CC(=O)c1ccccc1
119,C8H8O2,methyl benzoate,0.824,0.654,0.0,0.378,COC(=O)c1ccccc1
120,C8H8O3,methyl salicylate,0.843,0.741,0.219,0.216,COC(=O)c1ccccc1O
121,C8H10,o-xylene,0.791,0.266,0.0,0.157,Cc1ccccc1C
122,C8H10,m-xylene,0.771,0.205,0.0,0.162,Cc1cccc(C)c1
123,C8H10,p-xylene,0.778,0.175,0.0,0.16,Cc1ccc(C)cc1
124,C8H10,ethylbenzene,0.772,0.237,0.0,0.138,CCc1ccccc1
125,C8H10O,ethoxybenzene,0.81,0.669,0.0,0.295,CCOc1ccccc1
