Solvent,eps,n,alpha,beta,gamma,phi**2,psi**2,smiles
decalin,2.196,1.4753,0.0,0.0,43.82,0.0,0.0,C1CCC2CCCCC2C1
cis-decalin,2.2139,1.481,0.0,0.0,45.45,0.0,0.0,C1CC[C@H]2CCCC[C@H]2C1
n-decane,1.9846,1.4102,0.0,0.0,33.64,0.0,0.0,CCCCCCCCCC
dibromomethane,7.2273,1.5419999999999998,0.1,0.1,56.21,0.0,0.44488900000000003,BrCBr
dibutylether,3.0473,1.3992,0.0,0.45,35.98,0.0,0.0,CCCCOCCCC
o-dichlorobenzene,9.9949,1.5515,0.0,0.04,52.72,0.5625,0.0625,Clc1ccccc1Cl
"E-1,2-dichloroethene",2.14,1.4454,0.09,0.05,37.13,0.0,0.25,Cl/C=C/Cl
"Z-1,2-dichloroethene",9.2,1.449,0.11,0.05,39.8,0.0,0.25,Cl/C=C\Cl
dichloromethane,8.93,1.4242,0.1,0.05,39.15,0.0,0.44488900000000003,ClCCl
diethyl ether,4.24,1.3526,0.0,0.41,23.96,0.0,0.0,CCOCC
diethyl sulfide,5.723,1.443,0.0,0.32,35.36,0.0,0.0,CCSCC
diethylamine,3.5766,1.3864,0.08,0.69,28.57,0.0,0.0,CCNCC
diiodomethane,5.32,1.7425,0.05,0.23,95.25,0.0,0.0,ICI
diisopropyl ether,3.38,1.3679,0.0,0.41,24.86,0.0,0.0,CC(C)OC(C)C
"cis-1,2-dimethylcyclohexane",2.06,1.436,0.0,0.0,36.28,0.0,0.0,C[C@H]1CCCC[C@H]1C
dimethyl disulfide,9.6,1.5289,0.0,0.28,48.06,0.0,0.0,CSSC
"N,N-dimethylacetamide",37.781,1.4380000000000002,0.0,0.78,47.62,0.0,0.0,CC(=O)N(C)C
"N,N-dimethylformamide",37.219,1.4305,0.0,0.74,49.56,0.0,0.0,CN(C)C=O
dimethylsulfoxide,46.826,1.4783,0.0,0.88,61.78,0.0,0.0,CS(C)=O
diphenylether,3.73,1.5787,0.0,0.2,38.5,0.851929,0.0,c1ccc(Oc2ccccc2)cc1
dipropylamine,2.9112,1.405,0.08,0.69,32.11,0.0,0.0,CCCNCCC
n-dodecane,2.006,1.4216,0.0,0.0,35.85,0.0,0.0,CCCCCCCCCCCC
ethanethiol,6.667000000000002,1.431,0.0,0.24,33.22,0.0,0.0,CCS
ethanol,24.852,1.3611,0.37,0.48,31.62,0.0,0.0,CCO
ethyl ethanoate,5.9867,1.3723,0.0,0.45,33.67,0.0,0.0,CCOC(C)=O
ethyl methanoate,8.331,1.3599,0.0,0.38,33.36,0.0,0.0,CCOC=O
ethyl phenyl ether,4.1797,1.5076,0.0,0.32,46.65,0.44488900000000003,0.0,CCOc1ccccc1
ethylbenzene,2.4339,1.4959,0.0,0.15,41.38,0.5625,0.0,CCc1ccccc1
