,ET(30) (kcal mol-1),ETN
8231,51.9,0.654
15143,49.7,0.586
48366,31.0,0.009
48461,31.0,0.009
43984,43.2,0.386
28035,48.4,0.546
20711,38.1,0.228
14658,49.7,0.586
446,55.4,0.762
47705,38.5,0.241
9100,51.9,0.654
34818,49.1,0.586
39347,63.1,1.0
28373,48.4,0.546
49637,39.1,0.259
10489,50.7,0.617
42571,43.2,0.386
4587,51.9,0.654
17460,42.2,0.355
27702,48.4,0.546
27409,48.4,0.546
35466,49.1,0.586
25255,45.6,0.46
39660,63.1,1.0
3852,55.4,0.762
48744,31.0,0.009
34960,49.1,0.586
13792,49.7,0.586
15872,49.7,0.586
22128,38.1,0.228
27773,48.4,0.546
16564,42.2,0.355
25089,45.6,0.46
41361,63.1,1.0
47319,38.9,0.253
10524,50.7,0.617
10913,50.7,0.617
36221,37.4,0.207
47787,38.5,0.241
30607,48.4,0.546
8581,51.9,0.654
9909,51.9,0.654
6582,51.9,0.654
3953,55.4,0.762
9381,51.9,0.654
21030,38.1,0.228
27485,48.4,0.546
38607,36.0,0.164
20128,38.1,0.228
1118,55.4,0.762
34638,48.6,0.552
13445,49.7,0.586
11577,50.7,0.617
4994,51.9,0.654
17844,42.2,0.355
10741,50.7,0.617
24679,45.6,0.46
15395,49.7,0.586
43624,43.2,0.386
42682,43.2,0.386
3027,55.4,0.762
3884,55.4,0.762
16800,42.2,0.355
22246,38.1,0.228
12674,50.7,0.617
26907,45.6,0.46
30336,48.4,0.546
52297,48.8,0.559
13189,50.7,0.617
9327,51.9,0.654
38413,36.0,0.164
27835,48.4,0.546
30967,48.4,0.546
22530,38.1,0.228
11129,50.7,0.617
22535,38.1,0.228
35596,37.4,0.207
19259,42.2,0.355
53886,40.6,0.306
49208,40.9,0.315
4236,55.4,0.762
26697,45.6,0.46
32436,33.9,0.099
30922,48.4,0.546
4416,55.4,0.762
7357,51.9,0.654
12501,50.7,0.617
48714,31.0,0.009
8349,51.9,0.654
37851,36.0,0.164
45435,30.9,0.006
22540,38.1,0.228
27747,48.4,0.546
39901,63.1,1.0
43380,43.2,0.386
45108,56.3,0.79
9831,51.9,0.654
45511,30.9,0.006
17129,42.2,0.355
2128,55.4,0.762
14504,49.7,0.586
50108,48.5,0.549
20479,38.1,0.228
33942,48.6,0.552
12923,50.7,0.617
8016,51.9,0.654
16861,42.2,0.355
20446,38.1,0.228
4168,55.4,0.762
32421,33.9,0.099
1263,55.4,0.762
24373,45.6,0.46
43651,43.2,0.386
14433,49.7,0.586
35549,37.4,0.207
17763,42.2,0.355
23856,40.7,0.309
34242,48.6,0.552
1500,55.4,0.762
33128,33.9,0.099
42361,37.5,0.21
42830,43.2,0.386
26722,45.6,0.46
11120,50.7,0.617
45234,30.9,0.006
15980,49.7,0.586
15794,49.7,0.586
47146,38.9,0.253
21480,38.1,0.228
14079,49.7,0.586
36422,41.3,0.327
37484,47.1,0.506
17421,42.2,0.355
1979,55.4,0.762
42773,43.2,0.386
38329,36.0,0.164
40829,63.1,1.0
45259,30.9,0.006
37231,47.1,0.506
16150,49.7,0.586
27858,48.4,0.546
24342,45.6,0.46
22597,38.1,0.228
45519,30.9,0.006
32859,33.9,0.099
3463,55.4,0.762
27391,48.4,0.546
16476,42.2,0.355
31316,48.1,0.537
15751,49.7,0.586
35271,49.1,0.586
4069,55.4,0.762
50047,48.5,0.549
19280,42.2,0.355
43291,43.2,0.386
23849,40.7,0.309
33983,48.6,0.552
29920,48.4,0.546
44814,56.3,0.79
35521,37.4,0.207
32055,33.9,0.099
14253,49.7,0.586
997,55.4,0.762
46462,34.5,0.117
40082,63.1,1.0
5278,51.9,0.654
25581,45.6,0.46
49225,40.9,0.315
3245,55.4,0.762
30745,48.4,0.546
34110,48.6,0.552
21375,38.1,0.228
9550,51.9,0.654
19201,42.2,0.355
11236,50.7,0.617
16341,49.7,0.586
20314,38.1,0.228
34853,49.1,0.586
41243,63.1,1.0
31913,33.9,0.099
10069,50.7,0.617
14862,49.7,0.586
37474,47.1,0.506
16681,42.2,0.355
31281,48.1,0.537
27002,45.6,0.46
31047,48.1,0.537
20642,38.1,0.228
20409,38.1,0.228
24900,45.6,0.46
14922,49.7,0.586
10217,50.7,0.617
3205,55.4,0.762
23259,38.1,0.228
16986,42.2,0.355
22839,38.1,0.228
17577,42.2,0.355
15249,49.7,0.586
41468,63.1,1.0
21203,38.1,0.228
12729,50.7,0.617
35725,37.4,0.207
35690,37.4,0.207
3587,55.4,0.762
5838,51.9,0.654
42644,43.2,0.386
39297,63.1,1.0
49487,39.1,0.259
44746,56.3,0.79
13015,50.7,0.617
581,55.4,0.762
4422,55.4,0.762
30889,48.4,0.546
48589,31.0,0.009
41841,63.1,1.0
47139,38.9,0.253
41124,63.1,1.0
34939,49.1,0.586
27424,48.4,0.546
25348,45.6,0.46
26198,45.6,0.46
5542,51.9,0.654
30169,48.4,0.546
17469,42.2,0.355
25236,45.6,0.46
23417,38.1,0.228
35217,49.1,0.586
871,55.4,0.762
6493,51.9,0.654
50126,48.5,0.549
140,55.4,0.762
11971,50.7,0.617
4785,51.9,0.654
36010,37.4,0.207
302,55.4,0.762
9792,51.9,0.654
45251,30.9,0.006
27145,48.4,0.546
11916,50.7,0.617
32614,33.9,0.099
14579,49.7,0.586
11449,50.7,0.617
29967,48.4,0.546
52399,48.8,0.559
42127,63.1,1.0
20761,38.1,0.228
12645,50.7,0.617
43767,43.2,0.386
10265,50.7,0.617
2793,55.4,0.762
21040,38.1,0.228
8983,51.9,0.654
39313,63.1,1.0
13601,49.7,0.586
47341,38.9,0.253
48754,31.0,0.009
41484,63.1,1.0
42381,37.5,0.21
33137,33.9,0.099
12609,50.7,0.617
16110,49.7,0.586
48629,31.0,0.009
19289,42.2,0.355
44773,56.3,0.79
4637,51.9,0.654
8269,51.9,0.654
32349,33.9,0.099
34665,48.6,0.552
4512,51.9,0.654
18018,42.2,0.355
13964,49.7,0.586
27501,48.4,0.546
21082,38.1,0.228
21183,38.1,0.228
38515,36.0,0.164
25048,45.6,0.46
39854,63.1,1.0
15813,49.7,0.586
25774,45.6,0.46
18190,42.2,0.355
18503,42.2,0.355
5868,51.9,0.654
6001,51.9,0.654
16823,42.2,0.355
12540,50.7,0.617
545,55.4,0.762
48508,31.0,0.009
19526,42.2,0.355
6047,51.9,0.654
52826,33.9,0.099
1798,55.4,0.762
1217,55.4,0.762
47171,38.9,0.253
38617,36.0,0.164
30080,48.4,0.546
26640,45.6,0.46
37907,36.0,0.164
25368,45.6,0.46
20155,38.1,0.228
130,55.4,0.762
19142,42.2,0.355
15307,49.7,0.586
34689,48.6,0.552
14551,49.7,0.586
46763,34.3,0.111
20141,38.1,0.228
41870,63.1,1.0
6321,51.9,0.654
28567,48.4,0.546
8472,51.9,0.654
45050,56.3,0.79
31359,48.1,0.537
33264,33.9,0.099
42307,37.5,0.21
10633,50.7,0.617
43452,43.2,0.386
10191,50.7,0.617
47901,38.5,0.241
42504,43.2,0.386
33777,48.6,0.552
26884,45.6,0.46
17413,42.2,0.355
3215,55.4,0.762
30298,48.4,0.546
37631,47.1,0.506
32697,33.9,0.099
3633,55.4,0.762
21515,38.1,0.228
4673,51.9,0.654
32173,33.9,0.099
29087,48.4,0.546
19420,42.2,0.355
9623,51.9,0.654
50018,48.5,0.549
41784,63.1,1.0
44862,56.3,0.79
21532,38.1,0.228
11417,50.7,0.617
20220,38.1,0.228
41331,63.1,1.0
12559,50.7,0.617
10302,50.7,0.617
3008,55.4,0.762
44893,56.3,0.79
20685,38.1,0.228
27396,48.4,0.546
10680,50.7,0.617
23832,40.7,0.309
38722,36.0,0.164
19546,42.2,0.355
4078,55.4,0.762
24691,45.6,0.46
9485,51.9,0.654
26546,45.6,0.46
11985,50.7,0.617
11812,50.7,0.617
25076,45.6,0.46
22848,38.1,0.228
14512,49.7,0.586
44667,56.3,0.79
27235,48.4,0.546
33640,48.6,0.552
16401,49.7,0.586
39803,63.1,1.0
23129,38.1,0.228
38093,36.0,0.164
20385,38.1,0.228
5345,51.9,0.654
32092,33.9,0.099
33897,48.6,0.552
51267,41.3,0.327
9644,51.9,0.654
43116,43.2,0.386
13162,50.7,0.617
15771,49.7,0.586
28206,48.4,0.546
9175,51.9,0.654
13389,50.7,0.617
49467,39.1,0.259
24539,45.6,0.46
37952,36.0,0.164
918,55.4,0.762
44886,56.3,0.79
13903,49.7,0.586
37786,36.0,0.164
3501,55.4,0.762
10613,50.7,0.617
28363,48.4,0.546
25630,45.6,0.46
24547,45.6,0.46
47054,38.9,0.253
10606,50.7,0.617
29892,48.4,0.546
21251,38.1,0.228
14913,49.7,0.586
43024,43.2,0.386
25218,45.6,0.46
36712,41.3,0.327
46983,38.9,0.253
24221,45.6,0.46
25611,45.6,0.46
37287,47.1,0.506
39260,63.1,1.0
37335,47.1,0.506
39267,63.1,1.0
1296,55.4,0.762
14622,49.7,0.586
28648,48.4,0.546
17245,42.2,0.355
48359,31.0,0.009
36702,41.3,0.327
3087,55.4,0.762
38969,36.0,0.164
33234,33.9,0.099
41753,63.1,1.0
1043,55.4,0.762
23505,38.1,0.228
10481,50.7,0.617
5453,51.9,0.654
44990,56.3,0.79
36341,41.3,0.327
4800,51.9,0.654
45205,30.9,0.006
30914,48.4,0.546
40926,63.1,1.0
45780,30.9,0.006
1166,55.4,0.762
13946,49.7,0.586
17188,42.2,0.355
23839,40.7,0.309
15160,49.7,0.586
8182,51.9,0.654
9035,51.9,0.654
24825,45.6,0.46
13526,49.7,0.586
10244,50.7,0.617
1602,55.4,0.762
47415,38.9,0.253
30964,48.4,0.546
1209,55.4,0.762
2341,55.4,0.762
42947,43.2,0.386
12765,50.7,0.617
28558,48.4,0.546
19959,42.2,0.355
8379,51.9,0.654
20183,38.1,0.228
19868,42.2,0.355
28639,48.4,0.546
23798,38.1,0.228
8704,51.9,0.654
45342,30.9,0.006
9440,51.9,0.654
13802,49.7,0.586
13004,50.7,0.617
4397,55.4,0.762
46725,34.3,0.111
42869,43.2,0.386
27367,48.4,0.546
29842,48.4,0.546
464,55.4,0.762
11046,50.7,0.617
34200,48.6,0.552
1954,55.4,0.762
22906,38.1,0.228
8532,51.9,0.654
12378,50.7,0.617
28296,48.4,0.546
41894,63.1,1.0
19249,42.2,0.355
47715,38.5,0.241
40159,63.1,1.0
42637,43.2,0.386
32525,33.9,0.099
37277,47.1,0.506
24085,40.7,0.309
20542,38.1,0.228
41926,63.1,1.0
43817,43.2,0.386
39272,63.1,1.0
38587,36.0,0.164
21154,38.1,0.228
38592,36.0,0.164
8479,51.9,0.654
47035,38.9,0.253
22868,38.1,0.228
20635,38.1,0.228
4021,55.4,0.762
3269,55.4,0.762
32038,33.9,0.099
11589,50.7,0.617
307,55.4,0.762
38622,36.0,0.164
47422,38.9,0.253
17168,42.2,0.355
44627,56.3,0.79
3434,55.4,0.762
25309,45.6,0.46
25291,45.6,0.46
39777,63.1,1.0
19212,42.2,0.355
19178,42.2,0.355
29910,48.4,0.546
31381,48.1,0.537
48598,31.0,0.009
24747,45.6,0.46
12348,50.7,0.617
12396,50.7,0.617
46993,38.9,0.253
14193,49.7,0.586
25166,45.6,0.46
43211,43.2,0.386
41311,63.1,1.0
13052,50.7,0.617
21192,38.1,0.228
18755,42.2,0.355
19298,42.2,0.355
31307,48.1,0.537
47807,38.5,0.241
48196,31.1,0.012
25377,45.6,0.46
33932,48.6,0.552
27153,48.4,0.546
38692,36.0,0.164
28217,48.4,0.546
45187,30.9,0.006
28234,48.4,0.546
36305,41.3,0.327
26373,45.6,0.46
12240,50.7,0.617
4281,55.4,0.762
30207,48.4,0.546
8647,51.9,0.654
34714,48.6,0.552
35765,37.4,0.207
35169,49.1,0.586
31985,33.9,0.099
5691,51.9,0.654
3057,55.4,0.762
36190,37.4,0.207
5877,51.9,0.654
16740,42.2,0.355
48811,31.0,0.009
35101,49.1,0.586
37445,47.1,0.506
45859,30.9,0.006
47778,38.5,0.241
20402,38.1,0.228
15917,49.7,0.586
43109,43.2,0.386
37917,36.0,0.164
32110,33.9,0.099
11477,50.7,0.617
31298,48.1,0.537
646,55.4,0.762
495,55.4,0.762
31838,39.8,0.281
32598,33.9,0.099
473,55.4,0.762
28082,48.4,0.546
26250,45.6,0.46
8793,51.9,0.654
22876,38.1,0.228
183,55.4,0.762
10537,50.7,0.617
7559,51.9,0.654
8192,51.9,0.654
8319,51.9,0.654
20276,38.1,0.228
42664,43.2,0.386
3961,55.4,0.762
11569,50.7,0.617
19116,42.2,0.355
12455,50.7,0.617
38765,36.0,0.164
5820,51.9,0.654
6526,51.9,0.654
15893,49.7,0.586
38875,36.0,0.164
7336,51.9,0.654
50118,48.5,0.549
8397,51.9,0.654
21509,38.1,0.228
14763,49.7,0.586
41341,63.1,1.0
14959,49.7,0.586
5072,51.9,0.654
19774,42.2,0.355
42280,37.5,0.21
20624,38.1,0.228
48446,31.0,0.009
10976,50.7,0.617
47509,38.9,0.253
1364,55.4,0.762
16090,49.7,0.586
23058,38.1,0.228
17043,42.2,0.355
36020,37.4,0.207
13331,50.7,0.617
34727,48.6,0.552
14094,49.7,0.586
27382,48.4,0.546
6205,51.9,0.654
33148,33.9,0.099
3321,55.4,0.762
6133,51.9,0.654
74,55.4,0.762
23965,40.7,0.309
49667,39.1,0.259
47688,38.5,0.241
10766,50.7,0.617
47153,38.9,0.253
2989,55.4,0.762
5588,51.9,0.654
281,55.4,0.762
28325,48.4,0.546
24483,45.6,0.46
10436,50.7,0.617
34863,49.1,0.586
47350,38.9,0.253
4211,55.4,0.762
19631,42.2,0.355
13077,50.7,0.617
28797,48.4,0.546
31201,48.1,0.537
13224,50.7,0.617
20321,38.1,0.228
37871,36.0,0.164
4466,51.9,0.654
33950,48.6,0.552
14953,49.7,0.586
7480,51.9,0.654
24581,45.6,0.46
20863,38.1,0.228
41566,63.1,1.0
6010,51.9,0.654
20148,38.1,0.228
5198,51.9,0.654
242,55.4,0.762
40995,63.1,1.0
15216,49.7,0.586
21894,38.1,0.228
